fips,county,num-1990-all,num-2015-all,num-1990-1025,num-2015-1025,num-1990-1021,num-2015-1021,num-1990-1024,num-2015-1024,num-1990-1026,num-2015-1026,num-1990-1013,num-2015-1013,num-1990-1023,num-2015-1023,num-1990-1028,num-2015-1028,num-1990-1012,num-2015-1012,num-1990-1027,num-2015-1027,num-1990-1022,num-2015-1022,num-1990-1011,num-2015-1011,pct-1990-1025,pct-2015-1025,pct-diff-1025,pct-1990-1021,pct-2015-1021,pct-diff-1021,pct-1990-1024,pct-2015-1024,pct-diff-1024,pct-1990-1026,pct-2015-1026,pct-diff-1026,pct-1990-1013,pct-2015-1013,pct-diff-1013,pct-1990-1023,pct-2015-1023,pct-diff-1023,pct-1990-1028,pct-2015-1028,pct-diff-1028,pct-1990-1012,pct-2015-1012,pct-diff-1012,pct-1990-1027,pct-2015-1027,pct-diff-1027,pct-1990-1022,pct-2015-1022,pct-diff-1022,pct-1990-1011,pct-2015-1011,pct-diff-1011
23000,Maine,528787,595889,107728,165208,118606,124622,33047,65204,49492,65895,101975,55647,26570,29075,25428,26992,30251,27371,15785,17745,10626,8069,6783,6549,20.37266423,27.72462657,7.351962337,22.42982524,20.91362653,-1.51619871,6.249586317,10.94230637,4.692720052,9.359534179,11.05826756,1.698733384,19.28470254,9.338484181,-9.946218355,5.024707491,4.879264427,-0.145443064,4.808741516,4.52970268,-0.279038836,5.720828992,4.593305129,-1.127523863,2.985133901,2.977903603,-0.007230298,2.009504772,1.354111252,-0.65539352,1.282747117,1.099030189,-0.183716929
24000,Maryland,2136674,2591189,355811,623724,466561,471367,253277,438033,187033,269524,199271,103757,142994,139104,211677,242243,156873,154424,73801,90094,56748,42237,6742,6454,16.65256375,24.07095739,7.418393636,21.83585329,18.191147,-3.644706295,11.85379707,16.90471054,5.050913471,8.753464497,10.40155697,1.648092472,9.326223841,4.004223544,-5.322000298,6.692363926,5.368346346,-1.32401758,9.906845874,9.348719835,-0.558126039,7.34192488,5.959580718,-1.382344162,3.454013106,3.47693665,0.022923543,2.655903521,1.6300239,-1.025879621,0.315537139,0.249074846,-0.066462293
25000,Massachusetts,2920678,3428020,603443,967708,599731,596138,341448,541702,241922,356586,483858,249084,197456,212233,133626,136524,114569,150027,92674,115583,92912,93943,8799,8399,20.66105884,28.22935689,7.568298052,20.53396506,17.39015525,-3.143809809,11.69071017,15.80218318,4.111473014,8.283076738,10.402098,2.119021266,16.56663282,7.266118634,-9.300514182,6.76062202,6.191124906,-0.569497114,4.57517056,3.982590533,-0.592580026,3.922685075,4.376491386,0.453806311,3.173030372,3.371713117,0.198682745,3.181179165,2.740444922,-0.440734243,0.301265665,0.245010239,-0.056255426
26000,Michigan,3872732,4161641,735499,964027,803463,793239,407147,638661,331278,426618,834701,585666,193970,192806,143495,169195,142755,152077,121311,133618,72463,60992,27733,36355,18.99173503,23.1645882,4.172853166,20.74667186,19.06072629,-1.685945573,10.51317261,15.34637418,4.83320157,8.554116319,10.25119658,1.697080264,21.5532859,14.07295824,-7.480327658,5.00860891,4.632932057,-0.375676852,3.70526543,4.065583744,0.360318314,3.686157472,3.654255617,-0.031901855,3.132439838,3.210704623,0.078264785,1.871108045,1.465575719,-0.405532326,0.716109455,0.87357367,0.157464215
27000,Minnesota,2062366,2776684,390355,684907,464481,539192,221313,360261,184375,274495,342829,317292,129439,178729,96763,128113,81076,118425,70746,88598,57579,55378,18079,27552,18.92753275,24.66636463,5.738831881,22.52175414,19.41855825,-3.103195889,10.73102446,12.97450484,2.243480377,8.939974767,9.885712598,0.945737831,16.62309212,11.4270115,-5.196080618,6.276238068,6.436778546,0.160540478,4.691844222,4.613884763,-0.077959458,3.931212985,4.264979378,0.333766393,3.430331959,3.190784403,-0.239547555,2.791890479,1.994393312,-0.797497167,0.876614529,0.992262713,0.115648184
28000,Mississippi,915144,1114379,176801,284516,194046,231000,57877,108628,57837,132518,230576,142188,41924,43755,55879,67537,37218,49212,21255,22046,15082,14980,22161,17905,19.31947322,25.53134975,6.211876528,21.20387611,20.72903384,-0.474842273,6.324359882,9.747850597,3.423490714,6.319988985,11.89164548,5.571656496,25.19559763,12.75939335,-12.43620428,4.581136958,3.926402059,-0.654734899,6.106033586,6.060505447,-0.045528139,4.066900947,4.416091832,0.349190886,2.322585298,1.978321558,-0.34426374,1.648046646,1.344246437,-0.303800209,2.421586111,1.606724463,-0.814861648
29000,Missouri,2280202,2715579,416256,661597,527444,561403,220946,374122,212714,303940,389898,261329,139590,159057,116224,121768,103528,117332,68090,76897,70021,55539,13221,16302,18.25522476,24.36301798,6.107793222,23.13145941,20.67341808,-2.458041324,9.689755557,13.77687779,4.087122229,9.32873491,11.19245656,1.863721652,17.09927454,9.623325265,-7.475949273,6.121826049,5.857203933,-0.264622115,5.097092275,4.48405294,-0.613039335,4.5402995,4.320699195,-0.219600305,2.986138947,2.831698139,-0.154440809,3.070824427,2.045199201,-1.025625226,0.579817051,0.600313966,0.020496915
30000,Montana,286472,448688,64372,107312,69800,94394,15687,40670,34680,63549,19432,19113,14175,21115,19533,37007,12428,28516,9748,17281,6378,6462,10362,13020,22.47060795,23.91684199,1.446234045,24.365383,21.03778126,-3.32760174,5.475927839,9.064204971,3.588277132,12.10589517,14.16329387,2.057398704,6.783210925,4.25975288,-2.523458045,4.948127566,4.705942659,-0.242184906,6.818467424,8.247824769,1.429357345,4.338294842,6.355418465,2.017123622,3.402775838,3.851451343,0.448675504,2.226395599,1.44019898,-0.786196619,3.617107431,2.901793674,-0.715313757
31000,Nebraska,710711,959176,141175,226500,170819,206562,60586,118049,63065,89206,98757,97286,48513,64358,46455,50345,27709,49013,22266,25349,23207,17600,7748,14794,19.86391093,23.6140187,3.750107771,24.03494529,21.53535952,-2.49958577,8.524702727,12.30733463,3.782631902,8.87350836,9.300274402,0.426766042,13.89552153,10.14266412,-3.752857407,6.825981306,6.709717508,-0.116263799,6.536412128,5.248776033,-1.287636095,3.898771793,5.109906837,1.211135043,3.132919006,2.642789227,-0.490129779,3.265321629,1.834908296,-1.430413332,1.090175894,1.54236553,0.452189636
32000,Nevada,617030,1244635,58939,197448,112984,244218,65265,167742,189446,342738,23667,42106,30472,57875,35666,59720,48957,70199,15240,30336,10803,14939,15292,16704,9.552047712,15.86392798,6.311880266,18.31094112,19.62165615,1.310715027,10.57728149,13.47720416,2.899922667,30.70288317,27.53722979,-3.165653376,3.835631979,3.382999835,-0.452632144,4.938495697,4.649957618,-0.288538079,5.780270003,4.798193848,-0.982076155,7.93429817,5.640127427,-2.294170743,2.469896115,2.437341068,-0.032555047,1.750806282,1.200271566,-0.550534716,2.478323582,1.342080208,-1.136243374
33000,New Hampshire,497266,636806,90932,154381,115075,142720,37561,77510,45529,68485,98787,67195,32150,35355,25369,30251,24203,25125,14185,20356,10999,12404,1889,2540,18.28638998,24.24301907,5.956629087,23.14153793,22.41184913,-0.729688795,7.553502552,12.1716818,4.618179248,9.155864266,10.75445269,1.598588425,19.86602744,10.55187922,-9.314148216,6.465352548,5.551926332,-0.913426215,5.101696074,4.750426346,-0.351269728,4.867213926,3.945471619,-0.921742306,2.852598006,3.196577922,0.343979916,2.21189464,1.947845969,-0.264048671,0.379877168,0.398865589,0.01898842
34000,New Jersey,3561464,3889975,588922,936733,880628,881240,439369,646429,273880,359625,530182,236027,231288,232527,217162,200030,147586,149832,99816,132176,125773,75815,11592,13046,16.53595263,24.08069461,7.544741975,24.72657312,22.65413017,-2.072442949,12.33675253,16.61781888,4.281066354,7.690095983,9.244918026,1.554822043,14.88663089,6.067571128,-8.819059763,6.494183291,5.977596257,-0.516587034,6.097548649,5.142192431,-0.955356218,4.143970008,3.851747119,-0.292222889,2.802667667,3.397862454,0.595194787,3.53149716,1.948984248,-1.582512912,0.325484127,0.335374906,0.009890779
